"7016,KCG-VSKP,12,RJY,RAJAHMUNDRY,04:25:00,04:27:00,469,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,13,SLO,SAMALKOT JN.,05:05:00,05:07:00,519,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,14,ANV,ANNAVARAM,05:28:00,05:30:00,556,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,15,TUNI,TUNI,05:45:00,05:47:00,573,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,16,AKP,ANAKAPALLE,06:55:00,06:57:00,637,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,17,DVD,DUVVADA,07:20:00,07:21:00,652,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7016,KCG-VSKP,18,VSKP,VISAKHAPATNA,07:50:00,07:50:00,670,KCG,KACHEGUDA,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,1,TPTY,TIRUPATI,16:45:00,16:45:00,0,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,2,RU,RENIGUNTA JN,17:05:00,17:10:00,9,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,3,NLR,NELLORE,20:00:00,20:02:00,131,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,4,OGL,ONGOLE,23:00:00,23:02:00,247,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,5,BZA,VIJAYWADA JN,01:30:00,01:40:00,385,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,6,EE,ELURU,02:28:00,02:30:00,444,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,7,TDD,TADEPALLI GU,02:50:00,02:52:00,492,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,8,RJY,RAJAHMUNDRY,03:30:00,03:32:00,534,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,9,SLO,SAMALKOT JN.,04:30:00,04:32:00,584,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,10,AKP,ANAKAPALLE,06:00:00,06:02:00,702,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7044,VSKP HSP,11,VSKP,VISAKHAPATNA,07:50:00,07:50:00,735,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,1,TPTY,TIRUPATI,22:30:00,22:30:00,0,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,2,RU,RENIGUNTA JN,22:50:00,22:52:00,9,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,3,NLR,NELLORE,00:40:00,00:42:00,131,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,4,OGL,ONGOLE,02:00:00,02:02:00,247,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,5,BZA,VIJAYWADA JN,04:30:00,04:50:00,385,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,6,EE,ELURU,05:45:00,05:47:00,444,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
"7487,TPTY-VSKP,7,TDD,TADEPALLI GU,06:15:00,06:16:00,492,TPTY,TIRUPATI,VSKP,VISAKHAPATNAM"
